sequence,frame,image_path,gt_id_path,pred_path,status,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,gt_pos_ratio
00003,frame001390-1581624214_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001390-1581624214_249.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001390-1581624214_249.png,/home/brownassassin/research-project/rellis-output/00003/frame001390-1581624214_249/pred_traversable.png,no_boxes,0,0,696354,1607646,0.0,0.0,0.0,0.0,0.6977630208333331,0.30223697916666653
00003,frame001392-1581624214_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001392-1581624214_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001392-1581624214_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001392-1581624214_449/pred_traversable.png,no_boxes,0,0,640729,1663271,0.0,0.0,0.0,0.0,0.7219058159722219,0.2780941840277777
00003,frame001394-1581624214_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001394-1581624214_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001394-1581624214_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001394-1581624214_649/pred_traversable.png,no_boxes,0,0,606070,1697930,0.0,0.0,0.0,0.0,0.7369487847222219,0.2630512152777777
00003,frame001396-1581624214_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001396-1581624214_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001396-1581624214_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001396-1581624214_849/pred_traversable.png,no_boxes,0,0,585231,1718769,0.0,0.0,0.0,0.0,0.745993489583333,0.25400651041666655
00003,frame001398-1581624215_050,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001398-1581624215_050.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001398-1581624215_050.png,/home/brownassassin/research-project/rellis-output/00003/frame001398-1581624215_050/pred_traversable.png,no_boxes,0,0,556932,1747068,0.0,0.0,0.0,0.0,0.7582760416666664,0.24172395833333324
00003,frame001400-1581624215_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001400-1581624215_249.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001400-1581624215_249.png,/home/brownassassin/research-project/rellis-output/00003/frame001400-1581624215_249/pred_traversable.png,no_boxes,0,0,650591,1653409,0.0,0.0,0.0,0.0,0.7176254340277775,0.2823745659722221
00003,frame001402-1581624215_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001402-1581624215_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001402-1581624215_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001402-1581624215_449/pred_traversable.png,no_boxes,0,0,708284,1595716,0.0,0.0,0.0,0.0,0.6925850694444442,0.3074149305555554
00003,frame001404-1581624215_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001404-1581624215_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001404-1581624215_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001404-1581624215_649/pred_traversable.png,no_boxes,0,0,826254,1477746,0.0,0.0,0.0,0.0,0.6413828124999997,0.3586171874999999
00003,frame001406-1581624215_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001406-1581624215_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001406-1581624215_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001406-1581624215_849/pred_traversable.png,no_boxes,0,0,829712,1474288,0.0,0.0,0.0,0.0,0.6398819444444442,0.3601180555555554
00003,frame001408-1581624216_050,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001408-1581624216_050.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001408-1581624216_050.png,/home/brownassassin/research-project/rellis-output/00003/frame001408-1581624216_050/pred_traversable.png,no_boxes,0,0,854712,1449288,0.0,0.0,0.0,0.0,0.6290312499999997,0.37096874999999985
